year,gp,driver,team,finish_position,points,avg_lap_time,fastest_lap,laps_completed,round_number,is_win,is_podium,is_tops,cumulative_points,cumulative_wins,cumulative_podiums,points_momentum,avg_finish_lastN,consistency_score,race_leader_points,points_gap_to_leader
2025,Hungarian Grand Prix,STR,Aston Martin,7.0,6.0,0 days 00:01:22.705785714,0 days 00:01:20.708000,70,14,0,0,0,20.0,0,0,4.0,9.333333333333334,12.0,206.0,186.0
2025,Dutch Grand Prix,STR,Aston Martin,7.0,6.0,0 days 00:01:22.213138888,0 days 00:01:13.822000,72,15,0,0,0,26.0,0,0,6.0,7.0,10.4,213.0,187.0
2025,Italian Grand Prix,STR,Aston Martin,18.0,0.0,0 days 00:01:24.877423076,0 days 00:01:22.164000,52,16,0,0,0,26.0,0,0,4.0,10.666666666666666,10.6,228.0,202.0
2025,Azerbaijan Grand Prix,STR,Aston Martin,17.0,0.0,0 days 00:01:48.378000,0 days 00:01:45.083000,51,17,0,0,0,26.0,0,0,2.0,14.0,11.2,230.0,204.0
2025,Singapore Grand Prix,STR,Aston Martin,13.0,0.0,0 days 00:01:39.128803278,0 days 00:01:35.851000,61,18,0,0,0,26.0,0,0,0.0,16.0,12.4,245.0,219.0
2025,Mexico City Grand Prix,STR,Aston Martin,14.0,0.0,0 days 00:01:24.080128571,0 days 00:01:20.593000,70,20,0,0,0,26.0,0,0,0.0,14.666666666666666,13.8,270.0,244.0
2025,Las Vegas Grand Prix,STR,Aston Martin,18.0,0.0,,,1,22,0,0,0,26.0,0,0,0.0,15.0,16.0,270.0,244.0
2025,Abu Dhabi Grand Prix,STR,Aston Martin,10.0,1.0,0 days 00:01:30.379172413,0 days 00:01:27.626000,58,24,0,0,0,27.0,0,0,0.3333333333333333,14.0,14.4,288.0,261.0
2025,Australian Grand Prix,TSU,Racing Bulls,12.0,0.0,0 days 00:01:44.085698113,0 days 00:01:24.194000,57,1,0,0,0,0.0,0,0,0.0,12.0,12.0,25.0,25.0
2025,Japanese Grand Prix,TSU,Red Bull Racing,12.0,0.0,0 days 00:01:34.063849056,0 days 00:01:31.871000,53,3,0,0,0,0.0,0,0,0.0,12.0,12.0,43.0,43.0
2025,Bahrain Grand Prix,TSU,Red Bull Racing,9.0,2.0,0 days 00:01:40.589035714,0 days 00:01:37.225000,57,4,0,0,0,2.0,0,0,0.6666666666666666,11.0,11.0,58.0,56.0
2025,Saudi Arabian Grand Prix,TSU,Red Bull Racing,19.0,0.0,0 days 00:02:45.662000,0 days 00:02:45.662000,1,5,0,0,0,2.0,0,0,0.6666666666666666,13.333333333333334,13.0,70.0,68.0
